id,timezone_offset,type,unit,timestamp,start,end,value
,-25200,,kcal,2023-06-20 07:00:00+00:00,2023-06-20 07:00:00+00:00,2023-06-21 07:00:00+00:00,640.0
,-25200,,kcal,2023-06-21 07:00:00+00:00,2023-06-21 07:00:00+00:00,2023-06-22 07:00:00+00:00,453.0
,-25200,,kcal,2023-06-22 07:00:00+00:00,2023-06-22 07:00:00+00:00,2023-06-23 07:00:00+00:00,194.0
,-25200,,kcal,2023-06-23 07:00:00+00:00,2023-06-23 07:00:00+00:00,2023-06-24 07:00:00+00:00,290.0
,-25200,,kcal,2023-06-24 07:00:00+00:00,2023-06-24 07:00:00+00:00,2023-06-25 07:00:00+00:00,702.0
,-25200,,kcal,2023-06-25 07:00:00+00:00,2023-06-25 07:00:00+00:00,2023-06-26 07:00:00+00:00,310.0
,-25200,,kcal,2023-06-26 07:00:00+00:00,2023-06-26 07:00:00+00:00,2023-06-27 07:00:00+00:00,673.0
,-25200,,kcal,2023-06-27 07:00:00+00:00,2023-06-27 07:00:00+00:00,2023-06-27 23:59:59+00:00,326.0
,-25200,,kcal,2023-06-28 07:00:00+00:00,2023-06-28 07:00:00+00:00,2023-06-29 07:00:00+00:00,636.0
,-25200,,kcal,2023-06-29 07:00:00+00:00,2023-06-29 07:00:00+00:00,2023-06-30 07:00:00+00:00,829.0
,-25200,,kcal,2023-06-30 07:00:00+00:00,2023-06-30 07:00:00+00:00,2023-07-01 07:00:00+00:00,368.0
,-25200,,kcal,2023-07-01 07:00:00+00:00,2023-07-01 07:00:00+00:00,2023-07-02 07:00:00+00:00,230.0
,-25200,,kcal,2023-07-02 07:00:00+00:00,2023-07-02 07:00:00+00:00,2023-07-03 07:00:00+00:00,571.0
,-25200,,kcal,2023-07-03 07:00:00+00:00,2023-07-03 07:00:00+00:00,2023-07-04 07:00:00+00:00,163.0
,-25200,,kcal,2023-07-04 07:00:00+00:00,2023-07-04 07:00:00+00:00,2023-07-05 07:00:00+00:00,597.0
,-25200,,kcal,2023-07-05 07:00:00+00:00,2023-07-05 07:00:00+00:00,2023-07-05 23:59:59+00:00,228.0
,-25200,,kcal,2023-07-06 07:00:00+00:00,2023-07-06 07:00:00+00:00,2023-07-07 07:00:00+00:00,187.0
,-25200,,kcal,2023-07-07 07:00:00+00:00,2023-07-07 07:00:00+00:00,2023-07-08 07:00:00+00:00,323.0
,-25200,,kcal,2023-07-09 07:00:00+00:00,2023-07-09 07:00:00+00:00,2023-07-10 07:00:00+00:00,306.0
,-25200,,kcal,2023-07-10 07:00:00+00:00,2023-07-10 07:00:00+00:00,2023-07-11 07:00:00+00:00,122.0
,-25200,,kcal,2023-07-11 07:00:00+00:00,2023-07-11 07:00:00+00:00,2023-07-12 07:00:00+00:00,1046.0
,-25200,,kcal,2023-07-12 07:00:00+00:00,2023-07-12 07:00:00+00:00,2023-07-13 07:00:00+00:00,473.0
,-25200,,kcal,2023-07-13 07:00:00+00:00,2023-07-13 07:00:00+00:00,2023-07-13 23:59:59+00:00,939.0
,-25200,,kcal,2023-07-14 07:00:00+00:00,2023-07-14 07:00:00+00:00,2023-07-15 07:00:00+00:00,424.0
,-25200,,kcal,2023-07-15 07:00:00+00:00,2023-07-15 07:00:00+00:00,2023-07-16 07:00:00+00:00,1233.0
,-25200,,kcal,2023-07-16 07:00:00+00:00,2023-07-16 07:00:00+00:00,2023-07-17 07:00:00+00:00,375.0
,-25200,,kcal,2023-07-17 07:00:00+00:00,2023-07-17 07:00:00+00:00,2023-07-18 07:00:00+00:00,529.0
,-25200,,kcal,2023-07-20 07:00:00+00:00,2023-07-20 07:00:00+00:00,2023-07-21 07:00:00+00:00,3.0
,-25200,,kcal,2023-07-21 07:00:00+00:00,2023-07-21 07:00:00+00:00,2023-07-21 23:59:59+00:00,664.0
,-25200,,kcal,2023-07-22 07:00:00+00:00,2023-07-22 07:00:00+00:00,2023-07-23 07:00:00+00:00,296.0
,-25200,,kcal,2023-07-23 07:00:00+00:00,2023-07-23 07:00:00+00:00,2023-07-24 07:00:00+00:00,309.0
,-25200,,kcal,2023-07-24 07:00:00+00:00,2023-07-24 07:00:00+00:00,2023-07-25 07:00:00+00:00,953.0
,-25200,,kcal,2023-07-25 07:00:00+00:00,2023-07-25 07:00:00+00:00,2023-07-26 07:00:00+00:00,525.0
,-25200,,kcal,2023-07-26 07:00:00+00:00,2023-07-26 07:00:00+00:00,2023-07-27 07:00:00+00:00,1007.0
,-25200,,kcal,2023-07-27 07:00:00+00:00,2023-07-27 07:00:00+00:00,2023-07-28 07:00:00+00:00,953.0
,-25200,,kcal,2023-07-29 07:00:00+00:00,2023-07-29 07:00:00+00:00,2023-07-29 23:59:59+00:00,81.0
,-25200,,kcal,2023-07-30 07:00:00+00:00,2023-07-30 07:00:00+00:00,2023-07-30 23:59:59+00:00,897.0
